strategy,entry_time,exit_time,direction,entry,exit,size,risk_dist,pnl,r_mult,reason
London breakout,2024-06-25 09:00:00,2024-06-25 23:00:00,SHORT,2322.61,2317.12,121.3637,14.41,604.76,0.38,eod
London breakout,2024-06-26 09:00:00,2024-06-26 09:00:00,SHORT,2307.6,2307.6,164.1519,10.69,-82.08,-0.0,stop
London breakout,2024-06-26 10:00:00,2024-06-26 23:00:00,SHORT,2307.6,2298.86,163.9983,10.69,1351.35,0.82,eod
London breakout,2024-06-27 08:00:00,2024-06-27 23:00:00,LONG,2315.43,2321.64,92.9128,19.0,530.81,0.33,eod
London breakout,2024-07-01 08:00:00,2024-07-01 23:00:00,LONG,2332.57,2325.89,124.8369,14.18,-897.2,-0.47,eod
London breakout,2024-07-02 08:00:00,2024-07-02 09:00:00,SHORT,2322.74,2332.32,183.5861,9.59,-1852.38,-1.0,stop
London breakout,2024-07-02 10:00:00,2024-07-02 12:00:00,LONG,2332.32,2322.74,181.5588,9.59,-1831.93,-1.0,stop
London breakout,2024-07-03 08:00:00,2024-07-03 23:00:00,LONG,2349.42,2357.96,96.6286,17.82,777.57,0.48,eod
London breakout,2024-07-04 08:00:00,2024-07-04 23:00:00,LONG,2359.52,2361.66,188.7583,9.16,307.68,0.23,eod
London breakout,2024-07-08 11:00:00,2024-07-08 23:00:00,SHORT,2368.18,2367.55,93.7384,18.47,11.9,0.03,eod
London breakout,2024-07-09 08:00:00,2024-07-09 10:00:00,SHORT,2358.12,2368.66,164.3404,10.53,-1813.17,-1.0,stop
London breakout,2024-07-09 11:00:00,2024-07-09 21:00:00,SHORT,2358.12,2368.66,162.541,10.53,-1793.31,-1.0,stop
London breakout,2024-07-10 08:00:00,2024-07-10 10:00:00,LONG,2375.22,2375.22,194.3416,8.71,-97.17,0.0,stop
London breakout,2024-07-10 11:00:00,2024-07-10 23:00:00,LONG,2375.22,2378.65,194.1186,8.71,568.77,0.39,eod
London breakout,2024-07-11 08:00:00,2024-07-11 08:00:00,LONG,2384.46,2384.46,278.5012,6.09,-139.25,0.0,stop
London breakout,2024-07-11 09:00:00,2024-07-11 09:00:00,LONG,2384.46,2396.65,278.0439,6.09,3247.55,2.0,tp
London breakout,2024-07-11 10:00:00,2024-07-11 10:00:00,LONG,2384.46,2396.65,283.1482,6.09,3307.17,2.0,tp
