
==============================================================================
GBPJPY Signal Edge Scan — D1 fwd=5 — baseline LNG=56.7% / SHT=43.3% — bars=1159
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
H2    London open 07-09               LNG    3456   52.1    -0.4   -0.00  -0.46 
C23   PSAR bear                       SHT   12741   46.6    -0.2   -0.00  -0.50 
C27   ADX>25 & EMA20<50               SHT    5948   46.4    -0.4   +0.00  -0.62 
C10   Donchian20 breakdown            SHT    1296   45.8    -1.1   -0.01  -0.77 
C20   Supertrend bull                 LNG   14312   52.1    -0.3   +0.01  -0.78 
D4    NR7                             LNG    4702   51.9    -0.6   +0.01  -0.78 
C13   MACD cross up                   LNG    1093   51.2    -1.2   -0.01  -0.80 
B6    BB expanding (>20-med)          LNG   12838   52.1    -0.4   +0.01  -0.82 
P1    Bullish engulfing               LNG    2086   51.4    -1.1   +0.01  -0.96 
P2    Bearish engulfing               SHT    1781   45.6    -1.2   -0.01  -0.99 
C21   Supertrend bear                 SHT   13072   46.4    -0.4   -0.00  -1.00 
C24   ROC10>0                         LNG   14647   52.0    -0.4   +0.01  -1.08 
D6s   ATR pctile<0.2 (calm)           SHT    6198   46.1    -0.7   -0.01  -1.14 
B2r   Close<BB lower REV              SHT    1537   45.3    -1.5   -0.01  -1.16 
C25   ROC10<0                         SHT   12620   46.2    -0.6   -0.00  -1.31 
C11r  Near 20d HIGH REV               LNG   14938   51.8    -0.7   +0.01  -1.62 
C7    EMA20>EMA50                     LNG   15750   51.7    -0.8   +0.01  -1.96 
C18   Aroon up>70 & down<30           LNG    6890   51.1    -1.4   +0.01  -2.25 *
C8    EMA20<EMA50                     SHT   11633   45.8    -1.1   -0.00  -2.29 *
D5s   Inside bar                      SHT    3771   44.9    -2.0   -0.01  -2.40 *
C12r  Near 20d LOW REV                SHT   11470   45.7    -1.2   -0.00  -2.49 *
C3    Close>EMA50                     LNG   15675   51.4    -1.0   +0.00  -2.63 **
C5    Close>EMA200                    LNG   16677   51.3    -1.1   +0.00  -2.96 **
C4    Close<EMA50                     SHT   11708   45.4    -1.4   -0.01  -3.07 **
C1    Close>EMA20                     LNG   15169   51.2    -1.3   +0.00  -3.09 **
C2    Close<EMA20                     SHT   12214   45.2    -1.6   -0.01  -3.56 **
C6    Close<EMA200                    SHT   10706   45.1    -1.7   -0.01  -3.61 **
H3s   NY open 13-15                   SHT    3457   43.6    -3.3   -0.02  -3.84 **
C26   ADX>25 & EMA20>50               LNG    5986   49.4    -3.0   +0.00  -4.69 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF
